ball_x,ball_y,ball_x_vel,ball_y_vel,player_y
500.0,325.0,-0.5,-0.25,275.0
499.5,324.75,-0.5,-0.25,275.0
499.0,324.5,-0.5,-0.25,275.0
498.5,324.25,-0.5,-0.25,275.0
498.0,324.0,-0.5,-0.25,275.0
497.5,323.75,-0.5,-0.25,275.0
497.0,323.5,-0.5,-0.25,275.0
496.5,323.25,-0.5,-0.25,275.0
496.0,323.0,-0.5,-0.25,275.0
495.5,322.75,-0.5,-0.25,275.0
495.0,322.5,-0.5,-0.25,275.0
494.5,322.25,-0.5,-0.25,275.0
494.0,322.0,-0.5,-0.25,275.0
493.5,321.75,-0.5,-0.25,275.0
493.0,321.5,-0.5,-0.25,275.0
492.5,321.25,-0.5,-0.25,275.0
492.0,321.0,-0.5,-0.25,275.0
491.5,320.75,-0.5,-0.25,275.0
491.0,320.5,-0.5,-0.25,275.0
490.5,320.25,-0.5,-0.25,275.0
490.0,320.0,-0.5,-0.25,275.0
489.5,319.75,-0.5,-0.25,275.0
489.0,319.5,-0.5,-0.25,275.0
488.5,319.25,-0.5,-0.25,275.0
488.0,319.0,-0.5,-0.25,275.0
487.5,318.75,-0.5,-0.25,275.0
487.0,318.5,-0.5,-0.25,275.0
486.5,318.25,-0.5,-0.25,275.0
486.0,318.0,-0.5,-0.25,275.0
485.5,317.75,-0.5,-0.25,275.0
485.0,317.5,-0.5,-0.25,275.0
484.5,317.25,-0.5,-0.25,275.0
484.0,317.0,-0.5,-0.25,275.0
483.5,316.75,-0.5,-0.25,275.0
483.0,316.5,-0.5,-0.25,275.0
482.5,316.25,-0.5,-0.25,275.0
482.0,316.0,-0.5,-0.25,275.0
481.5,315.75,-0.5,-0.25,275.0
481.0,315.5,-0.5,-0.25,275.0
480.5,315.25,-0.5,-0.25,275.0
480.0,315.0,-0.5,-0.25,275.0
479.5,314.75,-0.5,-0.25,275.0
479.0,314.5,-0.5,-0.25,275.0
478.5,314.25,-0.5,-0.25,275.0
478.0,314.0,-0.5,-0.25,275.0
477.5,313.75,-0.5,-0.25,275.0
477.0,313.5,-0.5,-0.25,275.0
476.5,313.25,-0.5,-0.25,275.0
476.0,313.0,-0.5,-0.25,275.0
475.5,312.75,-0.5,-0.25,275.0
475.0,312.5,-0.5,-0.25,275.0
474.5,312.25,-0.5,-0.25,275.0
474.0,312.0,-0.5,-0.25,275.0
473.5,311.75,-0.5,-0.25,275.0
473.0,311.5,-0.5,-0.25,275.0
472.5,311.25,-0.5,-0.25,275.0
472.0,311.0,-0.5,-0.25,275.0
471.5,310.75,-0.5,-0.25,275.0
471.0,310.5,-0.5,-0.25,275.0
470.5,310.25,-0.5,-0.25,275.0
470.0,310.0,-0.5,-0.25,275.0
469.5,309.75,-0.5,-0.25,275.0
469.0,309.5,-0.5,-0.25,275.0
468.5,309.25,-0.5,-0.25,275.0
468.0,309.0,-0.5,-0.25,275.0
467.5,308.75,-0.5,-0.25,275.0
467.0,308.5,-0.5,-0.25,275.0
466.5,308.25,-0.5,-0.25,275.0
466.0,308.0,-0.5,-0.25,275.0
465.5,307.75,-0.5,-0.25,275.0
465.0,307.5,-0.5,-0.25,275.0
464.5,307.25,-0.5,-0.25,275.0
464.0,307.0,-0.5,-0.25,275.0
463.5,306.75,-0.5,-0.25,275.0
463.0,306.5,-0.5,-0.25,275.0
462.5,306.25,-0.5,-0.25,275.0
462.0,306.0,-0.5,-0.25,275.0
461.5,305.75,-0.5,-0.25,275.0
461.0,305.5,-0.5,-0.25,275.0
460.5,305.25,-0.5,-0.25,275.0
460.0,305.0,-0.5,-0.25,275.0
459.5,304.75,-0.5,-0.25,275.0
459.0,304.5,-0.5,-0.25,275.0
458.5,304.25,-0.5,-0.25,275.0
458.0,304.0,-0.5,-0.25,275.0
457.5,303.75,-0.5,-0.25,275.0
457.0,303.5,-0.5,-0.25,275.0
456.5,303.25,-0.5,-0.25,275.0
456.0,303.0,-0.5,-0.25,275.0
455.5,302.75,-0.5,-0.25,275.0
455.0,302.5,-0.5,-0.25,275.0
